"Hugo_Symbol"	"Pathway"	"type"	"vogelstein"	"total_muts"	"total_N"	"pancan_f"	"total_het"	"total_bi"	"percent_biallelic"	"N_Cancer_types with > 5% alt rate"	"N Cancer types with > 10% alt rate"	"N_Cancer_types_with biallelic_rate > 60%"	"Currently_in_Fig1B"	"Manual_Keep?"
"1"	"CDKN2A"	"CellCycle"	"TSG"	"Y"	7277	29669	0.245	286	996	0.777	51	36	51	"Y"	"Y"
"2"	"RB1"	"CellCycle"	"TSG"	"Y"	2068	30517	0.068	214	1115	0.839	32	16	32	"Y"	"Y"
"3"	"NF2"	"HIPPO"	"TSG"	"Y"	343	25832	0.013	38	206	0.844	7	5	7	"Y"	"Y"
"4"	"FAT1"	"HIPPO"	"TSG"	NA	597	27932	0.021	178	175	0.496	9	4	0	NA	"Y"
"5"	"FBXW7"	"NOTCH"	"TSG"	"Y"	1003	29035	0.035	538	346	0.391	19	9	0	"Y"	"Y"
"6"	"CREBBP"	"NOTCH"	"TSG"	"Y"	507	28989	0.017	244	100	0.291	6	1	0	"Y"	"Y"
"7"	"NOTCH1"	"NOTCH"	"TSG"	NA	428	25873	0.017	156	160	0.506	8	5	0	"Y"	"Y"
"8"	"EP300"	"NOTCH"	"TSG"	"Y"	359	27304	0.013	187	73	0.281	4	1	0	"Y"	"Y"
"9"	"KEAP1"	"NRF2"	"TSG"	NA	523	22588	0.023	78	276	0.78	4	2	4	"Y"	"Y"
"10"	"PTEN"	"PI3K"	"TSG"	"Y"	3260	31081	0.105	437	1896	0.813	37	19	37	"Y"	"Y"
"11"	"STK11"	"PI3K"	"TSG"	"Y"	973	22772	0.043	143	634	0.816	10	6	10	"Y"	"Y"
"12"	"PIK3R1"	"PI3K"	"TSG"	"Y"	1054	28867	0.037	575	325	0.361	14	8	0	"Y"	"Y"
"13"	"TSC1"	"PI3K"	"TSG"	"Y"	299	27256	0.011	62	186	0.75	3	1	3	"Y"	"Y"
"14"	"PPP2R1A"	"PI3K"	"TSG"	"Y"	356	22039	0.016	222	48	0.178	6	5	0	NA	"Y"
"15"	"TSC2"	"PI3K"	"TSG"	NA	247	26511	0.009	58	107	0.648	2	0	2	NA	"Y"
"16"	"NF1"	"RTK_RAS"	"TSG"	"Y"	1486	30109	0.049	321	775	0.707	22	13	22	"Y"	"Y"
"17"	"RASA1"	"RTK_RAS"	"TSG"	NA	278	25446	0.011	98	105	0.517	1	0	0	NA	"Y"
"18"	"SPRED1"	"RTK_RAS"	"TSG"	NA	64	16212	0.004	28	11	0.282	2	1	0	NA	"Y"
