"ONCOTREE_CODE"	"organ"	"organ_order"	"CTD_ABBR"	"organ_color"	"Disease"
"1"	"ACC"	"Endocrine"	4	"Adrenocortical"	"#e4e07a"	"Adrenocortical Carcinoma"
"2"	"ACRM"	"Skin"	11	"Acral"	"#4EBE03"	"Acral Melanoma"
"3"	"ACYC"	"Head and Neck"	3	"Adenoid Cystic"	"#049347"	"Adenoid Cystic Carcinoma"
"4"	"ANGS"	"Soft Tissue"	12	"Angiosarcoma"	"#00a89b"	"Angiosarcoma"
"5"	"ANSC"	"Core GI"	7	"Anal Squam."	"#007EB5"	"Anal Squamous Cell Carcinoma"
"7"	"ASTR"	"Brain"	1	"Astrocytoma"	"#C62D28"	"Astrocytoma"
"8"	"BLCA"	"Genitourinary"	9	"Bladder Urothelial"	"#f17d81"	"Bladder Urothelial Carcinoma"
"9"	"CCOV"	"Gynecologic"	10	"Clear Cell Ovarian"	"#f8b74a"	"Clear Cell Ovarian Cancer"
"10"	"CCRCC"	"Genitourinary"	9	"Renal Clear Cell"	"#f17d81"	"Renal Clear Cell Carcinoma"
"11"	"CESC"	"Gynecologic"	10	"Cervial Squamous"	"#f8b74a"	"Cervical Squamous Cell Carcinoma"
"15"	"COAD"	"Core GI"	7	"Colon"	"#007EB5"	"Colon Adenocarcinoma"
"16"	"DDLS"	"Soft Tissue"	12	"Dediff. Liposarcoma"	"#00a89b"	"Dedifferentiated Liposarcoma"
"17"	"DSRCT"	"Soft Tissue"	12	"Desmoplastic Small-Round"	"#00a89b"	"Desmoplastic Small-Round-Cell Tumor"
"18"	"ECAD"	"Gynecologic"	10	"Endocervical Adeno."	"#f8b74a"	"Endocervical Adenocarcinoma"
"19"	"EHCH"	"Developmental GI Tract"	8	"Extrahepatic Chol."	"#355A91"	"Extrahepatic Cholangiocarcinoma"
"20"	"EOV"	"Gynecologic"	10	"Endometroid Ovarian"	"#f8b74a"	"Endometrioid Ovarian Cancer"
"22"	"ES"	"Soft Tissue"	12	"Ewing"	"#00a89b"	"Ewing Sarcoma"
"23"	"ESCA"	"Core GI"	7	"Esophageal Adeno."	"#007EB5"	"Esophageal Adenocarcinoma"
"24"	"ESCC"	"Core GI"	7	"Esophageal Squam."	"#007EB5"	"Esophageal Squamous Cell Carcinoma"
"25"	"GB"	"Brain"	1	"GB"	"#C62D28"	"Glioblastoma"
"28"	"GEJ"	"Core GI"	7	"Adeno. of GEJ"	"#007EB5"	"Adenocarcinoma of the Gastroesophageal Junction"
"29"	"GIST"	"Core GI"	7	"GIST"	"#007EB5"	"Gastrointestinal Stromal Tumor"
"31"	"HCC"	"Developmental GI Tract"	8	"Hepatocellular"	"#355A91"	"Hepatocellular Carcinoma"
"33"	"HGSFT"	"Gynecologic"	10	"High-Grade Serous Fallopian"	"#f8b74a"	"High-Grade Serous Fallopian Tube Cancer"
"34"	"HGSOC"	"Gynecologic"	10	"High-Grade Serous Ovarian"	"#f8b74a"	"High-Grade Serous Ovarian Cancer"
"35"	"IDC"	"Breast"	6	"Ductal"	"#e6308e"	"Breast Invasive Ductal Carcinoma"
"36"	"IHCH"	"Developmental GI Tract"	8	"Intrahepatic Chol."	"#355A91"	"Intrahepatic Cholangiocarcinoma"
"37"	"ILC"	"Breast"	6	"Lobular"	"#e6308e"	"Breast Invasive Lobular Carcinoma"
"38"	"LGSOC"	"Gynecologic"	10	"Low-Grade Serous"	"#f8b74a"	"Low-Grade Serous Ovarian Cancer"
"39"	"LMS"	"Soft Tissue"	12	"Leiomyosarcoma"	"#00a89b"	"Leiomyosarcoma"
"40"	"LUAD"	"Thoracic"	5	"Lung Adeno."	"#B368D9"	"Lung Adenocarcinoma"
"41"	"LUCA"	"Thoracic"	5	"Carcinoid"	"#B368D9"	"Lung Carcinoid"
"42"	"LUNE"	"Thoracic"	5	"Neuroendocrine"	"#B368D9"	"Large Cell Neuroendocrine Carcinoma"
"43"	"LUSC"	"Thoracic"	5	"Lung Squam."	"#B368D9"	"Lung Squamous Cell Carcinoma"
"44"	"MAAP"	"Core GI"	7	"Muc. Adeno. of Appendix"	"#007EB5"	"Mucinous Adenocarcinoma of the Appendix"
"45"	"MACR"	"Core GI"	7	"Muc. Adeno. - Colon/Rectum"	"#007EB5"	"Mucinous Adenocarcinoma of the Colon and Rectum"
"46"	"MCC"	"Skin"	11	"Merkel Cell"	"#4EBE03"	"Merkel Cell Carcinoma"
"47"	"MDLC"	"Breast"	6	"Mixed"	"#e6308e"	"Breast Mixed Ductal and Lobular Carcinoma"
"49"	"MFS"	"Soft Tissue"	12	"Myxofibrosarcoma"	"#00a89b"	"Myxofibrosarcoma"
"50"	"MGCT"	"Genitourinary"	9	"Mixed Germ Cell"	"#f17d81"	"Mixed Germ Cell Tumor"
